PERIOD,UNIT_ID,UNIT_NAME,UNIT_TYPE,AREA_CODE,AREA_NAME,REG_CODE,REG_NAME,TOPIC_REASON_1,TOPIC_REASON_2,TOPIC_RESULT,SERVICE,BRAND,APP_ID,JML
2023-05-15,1107,GraPARI Wahidin Medan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,I26-Informasi syarat & ketentuan produk,I,simPATI,DSC,20
2023-05-15,1107,GraPARI Wahidin Medan,gerai,1,Sumatera,1,Sumbagut,MUTASI,CLS,P55-Permintaan perubahan modify CLS (upgrade),P,KartuHalo,DSC,3
2023-05-15,1107,GraPARI Wahidin Medan,gerai,1,Sumatera,1,Sumbagut,TAGIHAN & PEMBAYARAN,Pembayaran Tagihan,P44-Permintaan pembayaran tagihan,P,KartuHalo,Paradise,5
2023-05-15,1107,GraPARI Wahidin Medan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,simPATI,DSC,4
2023-05-15,1107,GraPARI Wahidin Medan,gerai,1,Sumatera,1,Sumbagut,CAMPAIGN & LOYALTY,Campaign Bundling,P63-Permintaan aktivasi layanan,P,KartuHalo,DSC,5
2023-05-15,1107,GraPARI Wahidin Medan,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,P14-Permintaan Reaktivasi,P,kartu As,DSC,1
2023-05-15,1109,GraPARI Plaza Millenium Medan,gerai,1,Sumatera,1,Sumbagut,MUTASI,Voluntary Block,I57-Informasi Prosedur Pengaduan SMS Penipuan / Spam / Virus / Promosi,I,simPATI,DSC,1
2023-05-15,1109,GraPARI Plaza Millenium Medan,gerai,1,Sumatera,1,Sumbagut,MUTASI,P2P/SPTP,P58-Permintaan Migrasi Pre to Post,P,KartuHalo,DSC,1
2023-05-15,1109,GraPARI Plaza Millenium Medan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,simPATI,DSC,4
2023-05-15,1109,GraPARI Plaza Millenium Medan,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reestablish Halo,P15-Permintaan reestablish,P,KartuHalo,DSC,2
